工作内容,计划时间,记录名称,记录要求,备注
设备房间（保护室、通信室、自动化室）空调调整,每月1日,/,需在PMS3.0系统运维作业-其他-空调检查及轮换中作好记录,1月-2月，空调设为除湿模式，温度设置为20度；每个设备房间开启一半空调，开启的空调在室内对称的位置上；3月-4月，空调设为制冷模式，温度设置为22度，每个设备房间开启一半空调，开启的空调在室内对称的位置上；5月-10月，空调设为制冷模式，温度设置为22度，每个设备房间开启全部空调（应急空调不开）；11月-12月，空调设为制冷模式，温度设置为22度，每个设备房间开启一半空调，开启的空调在室内对称的位置上
上月操作票整理装订,每月2日,/,/,每月10日前运维站签审后交回中心运维专责处（蒋海军）
一次设备端子箱、汇控箱、智能汇控柜、主变汇控箱、分控箱、断路器机构箱、动力箱开箱检查，箱内加热器、除湿机及照明检查维护（刀闸机构箱除外）,每月的1、3、5、16、18、20日,机构箱、端子箱、汇控柜等的加热器及照明标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-机构箱、端子箱、汇控柜等加热吸湿中作好记录，记录需写明本值完成的是具体哪个电压等级的设备箱体,开箱所要开展的工作：1.清扫箱体内二次线、空开、除湿机等元件，箱体四防材料上的灰层、蛛网、草屑、蚊虫尸体。2.检查维护箱内除湿机、加热器使其工作正常。3.检查维护更换箱内照明设备。4.若箱体有凝露需清擦干净。5.检查维护箱体内的脱湿片，湿的脱湿片需晾晒干后再使用。6.检查维护箱门及锁具，保证能正常开闭，无法处理的统计上报车间。
防寒、防潮检查,每年的1、2、3、10、11、12月的1、3、5日,防风、防寒、防潮检查记录薄（纸质）,纸质及PMS3.0系统运维作业-其他-防风、防寒、防潮、防毒、防高温检查维护中作好记录（记录中备注：防寒、防潮检查）,结合当月各值的开箱检查一并进行
排水、通风系统检查试验维护,每月5日,排水、通风系统检查、维护标准化作业指导卡,需在PMS3.0系统运维作业-其他-站用供水系统、排水系统检查、维护和设备室通风系统维护、风机故障检查消缺中分别作好记录,/
设备铭牌等标识维护、更换，围栏、警示牌等安全设施检查维护,每月5日,设备铭牌等标识维护、更换，围栏、警示牌等安全设施检查维护工作标准化作业卡,需在PMS3.0系统运维作业-设备维护-设备铭牌等标识维护、更换中作好记录,/
防风检查,每月5日,防风、防寒、防潮检查记录薄（纸质）,纸质及PMS3.0系统运维作业-其他-防风、防寒、防潮、防毒、防高温检查维护中作好记录（记录中备注：防风检查）,/
校对保护装置、故障录波、后台机、录音系统时钟（与GPS时钟校对）,每月7日,全站装置、系统时钟核对维护检查标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-全站各装置、系统时钟核对中作好记录,需注意消防类装置、工业视频、安防视频装置、站用电室380伏监测装置
继保装置打印机维护和缺陷处理（补充打印机纸张）,每月7日,/,需在PMS3.0系统运维作业-其他-微机保护装置打印机检查维护中作好记录,/
继保装置保护差流检查、通道检查,每月7日,各站编制的保护差流检查、通道检查记录表（纸质）,需在PMS3.0系统运维作业-设备维护-保护差流检查、通道检查中作好记录,差流检查表中每个回路需填写装置实际显示的差流值
全站压板、切换开关位置核对,1/4/7/10月 7日,各站编制的全站压板核对记录薄（纸质）,纸质及PMS3.0系统运维作业-设备维护-保护压板、切换开关位置检查中作好记录,/
与变电监控班核对设备运行方式；整理主控桌面电脑显示器、键盘、电话、打印机、解锁钥匙箱,每周六,/,需在PMS3.0系统运行值班-其他工作记录中作好记录,每次核对包括一次设备运行方式核对，异常光字信号核对并对监控后台进行清闪；整理主控桌面整理要求：显示器、键盘排列要整齐一致，电话（录音台、座机整齐一致，打印机、解锁钥匙箱规整一致）
调度录音电话（录音台）试打、检查,每周六,/,需在PMS3.0系统运行值班-其他工作记录中作好记录,当值运维人员用各站调度台录音电话与各级调度、监控班、管控班进行电话试打，检查调度录音电话正常
刀闸机构箱开箱检查，加热器、除湿机及照明检查维护,2/5/8/11月1日,机构箱、端子箱、汇控柜等的加热器及照明标准化作业指导卡,PMS3.0系统运行值班-值班日志-解锁钥匙使用、归还记录；PMS3.0系统运维作业-设备维护-机构箱、端子箱、汇控柜等加热吸湿中作好记录,需按照规定申请使用解锁钥匙；每年的5月开箱检查时关闭刀闸机构箱内的加热电源，每年的11月开箱检查时开启刀闸机构箱内的加热电源（具体时间由运维站当月拟定上报计划开箱，各站时间应措开，可结合变检一次专业巡视开展）。
